,0,corpus
0,wow love place,wow love place
1,crust good,crust good
2,tasti textur nasti,tasti textur nasti
3,stop late may bank holiday rick steve recommend love,stop late may bank holiday rick steve recommend love
4,select menu great price,select menu great price
5,get angri want damn pho,get angri want damn pho
6,honeslti tast fresh,honeslti tast fresh
7,potato like rubber could tell made ahead time kept warmer,potato like rubber could tell made ahead time kept warmer
8,fri great,fri great
9,great touch,great touch
10,servic prompt,servic prompt
11,would go back,would go back
12,cashier care ever say still end wayyy overpr,cashier care ever say still end wayyy overpr
13,tri cape cod ravoli chicken cranberri mmmm,tri cape cod ravoli chicken cranberri mmmm
14,disgust pretti sure human hair,disgust pretti sure human hair
15,shock sign indic cash,shock sign indic cash
16,highli recommend,highli recommend
17,waitress littl slow servic,waitress littl slow servic
18,place worth time let alon vega,place worth time let alon vega
19,like,like
20,burritto blah,burritto blah
21,food amaz,food amaz
22,servic also cute,servic also cute
23,could care less interior beauti,could care less interior beauti
24,perform,perform
25,right red velvet cake ohhh stuff good,right red velvet cake ohhh stuff good
26,never brought salad ask,never brought salad ask
27,hole wall great mexican street taco friendli staff,hole wall great mexican street taco friendli staff
28,took hour get food tabl restaur food luke warm sever run around like total overwhelm,took hour get food tabl restaur food luke warm sever run around like total overwhelm
29,worst salmon sashimi,worst salmon sashimi
30,also combo like burger fri beer decent deal,also combo like burger fri beer decent deal
31,like final blow,like final blow
32,found place accid could happier,found place accid could happier
33,seem like good quick place grab bite familiar pub food favor look elsewher,seem like good quick place grab bite familiar pub food favor look elsewher
34,overal like place lot,overal like place lot
35,redeem qualiti restaur inexpens,redeem qualiti restaur inexpens
36,ampl portion good price,ampl portion good price
37,poor servic waiter made feel like stupid everi time came tabl,poor servic waiter made feel like stupid everi time came tabl
38,first visit hiro delight,first visit hiro delight
39,servic suck,servic suck
40,shrimp tender moist,shrimp tender moist
41,deal good enough would drag establish,deal good enough would drag establish
42,hard judg whether side good gross melt styrofoam want eat fear get sick,hard judg whether side good gross melt styrofoam want eat fear get sick
43,posit note server attent provid great servic,posit note server attent provid great servic
44,frozen puck disgust worst peopl behind regist,frozen puck disgust worst peopl behind regist
45,thing like prime rib dessert section,thing like prime rib dessert section
46,bad food damn gener,bad food damn gener
47,burger good beef cook right,burger good beef cook right
48,want sandwich go firehous,want sandwich go firehous
49,side greek salad greek dress tasti pita hummu refresh,side greek salad greek dress tasti pita hummu refresh
50,order duck rare pink tender insid nice char outsid,order duck rare pink tender insid nice char outsid
51,came run us realiz husband left sunglass tabl,came run us realiz husband left sunglass tabl
52,chow mein good,chow mein good
53,horribl attitud toward custom talk one custom enjoy food,horribl attitud toward custom talk one custom enjoy food
54,portion huge,portion huge
55,love friendli server great food wonder imagin menu,love friendli server great food wonder imagin menu
56,heart attack grill downtown vega absolut flat line excus restaur,heart attack grill downtown vega absolut flat line excus restaur
57,much seafood like string pasta bottom,much seafood like string pasta bottom
58,salad right amount sauc power scallop perfectli cook,salad right amount sauc power scallop perfectli cook
59,rip banana rip petrifi tasteless,rip banana rip petrifi tasteless
60,least think refil water struggl wave minut,least think refil water struggl wave minut
61,place receiv star appet,place receiv star appet
62,cocktail handmad delici,cocktail handmad delici
63,definit go back,definit go back
64,glad found place,glad found place
65,great food servic huge portion give militari discount,great food servic huge portion give militari discount
66,alway great time do gringo,alway great time do gringo
67,updat went back second time still amaz,updat went back second time still amaz
68,got food appar never heard salt batter fish chewi,got food appar never heard salt batter fish chewi
69,great way finish great,great way finish great
70,deal includ tast drink jeff went beyond expect,deal includ tast drink jeff went beyond expect
71,realli realli good rice time,realli realli good rice time
72,servic meh,servic meh
73,took min get milkshak noth chocol milk,took min get milkshak noth chocol milk
74,guess known place would suck insid excalibur use common sens,guess known place would suck insid excalibur use common sens
75,scallop dish quit appal valu well,scallop dish quit appal valu well
76,time bad custom servic,time bad custom servic
77,sweet potato fri good season well,sweet potato fri good season well
78,today second time lunch buffet pretti good,today second time lunch buffet pretti good
79,much good food vega feel cheat wast eat opportun go rice compani,much good food vega feel cheat wast eat opportun go rice compani
80,come like experienc underwhelm relationship parti wait person ask break,come like experienc underwhelm relationship parti wait person ask break
81,walk place smell like old greas trap other eat,walk place smell like old greas trap other eat
82,turkey roast beef bland,turkey roast beef bland
83,place,place
84,pan cake everyon rave tast like sugari disast tailor palat six year old,pan cake everyon rave tast like sugari disast tailor palat six year old
85,love pho spring roll oh yummi tri,love pho spring roll oh yummi tri
86,poor batter meat ratio made chicken tender unsatisfi,poor batter meat ratio made chicken tender unsatisfi
87,say food amaz,say food amaz
88,omelet die,omelet die
89,everyth fresh delici,everyth fresh delici
90,summari larg disappoint dine experi,summari larg disappoint dine experi
91,like realli sexi parti mouth outrag flirt hottest person parti,like realli sexi parti mouth outrag flirt hottest person parti
92,never hard rock casino never ever step forward,never hard rock casino never ever step forward
93,best breakfast buffet,best breakfast buffet
94,say bye bye tip ladi,say bye bye tip ladi
95,never go,never go
96,back,back
97,food arriv quickli,food arriv quickli
98,good,good
99,side cafe serv realli good food,side cafe serv realli good food
100,server fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go,server fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go
101,good thing waiter help kept bloddi mari come,good thing waiter help kept bloddi mari come
102,best buffet town price cannot beat,best buffet town price cannot beat
103,love mussel cook wine reduct duck tender potato dish delici,love mussel cook wine reduct duck tender potato dish delici
104,one better buffet,one better buffet
105,went tigerlilli fantast afternoon,went tigerlilli fantast afternoon
106,food delici bartend attent person got great deal,food delici bartend attent person got great deal
107,ambienc wonder music play,ambienc wonder music play
108,go back next trip,go back next trip
109,sooooo good,sooooo good
110,real sushi lover let honest yama good,real sushi lover let honest yama good
111,least min pass us order food arriv busi,least min pass us order food arriv busi
112,realli fantast thai restaur definit worth visit,realli fantast thai restaur definit worth visit
113,nice spici tender,nice spici tender
114,good price,good price
115,check,check
116,pretti gross,pretti gross
117,better atmospher,better atmospher
118,kind hard mess steak,kind hard mess steak
119,although much like look sound place actual experi bit disappoint,although much like look sound place actual experi bit disappoint
120,know place manag serv blandest food ever eaten prepar indian cuisin,know place manag serv blandest food ever eaten prepar indian cuisin
121,worst servic boot least worri,worst servic boot least worri
122,servic fine waitress friendli,servic fine waitress friendli
123,guy steak steak love son steak best worst place said best steak ever eaten,guy steak steak love son steak best worst place said best steak ever eaten
124,thought ventur away get good sushi place realli hit spot night,thought ventur away get good sushi place realli hit spot night
125,host staff lack better word bitch,host staff lack better word bitch
126,bland like place number reason want wast time bad review leav,bland like place number reason want wast time bad review leav
127,phenomen food servic ambianc,phenomen food servic ambianc
128,return,return
129,definit worth ventur strip pork belli return next time vega,definit worth ventur strip pork belli return next time vega
130,place way overpr mediocr food,place way overpr mediocr food
131,penn vodka excel,penn vodka excel
132,good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger,good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger
133,manag rude,manag rude
134,delici nyc bagel good select cream chees real lox caper even,delici nyc bagel good select cream chees real lox caper even
135,great subway fact good come everi subway meet expect,great subway fact good come everi subway meet expect
136,serious solid breakfast,serious solid breakfast
137,one best bar food vega,one best bar food vega
138,extrem rude realli mani restaur would love dine weekend vega,extrem rude realli mani restaur would love dine weekend vega
139,drink never empti made realli great menu suggest,drink never empti made realli great menu suggest
140,,
141,waiter help friendli rare check us,waiter help friendli rare check us
142,husband ate lunch disappoint food servic,husband ate lunch disappoint food servic
143,red curri much bamboo shoot tasti,red curri much bamboo shoot tasti
144,nice blanket moz top feel like done cover subpar food,nice blanket moz top feel like done cover subpar food
145,bathroom clean place well decor,bathroom clean place well decor
146,menu alway chang food qualiti go servic extrem slow,menu alway chang food qualiti go servic extrem slow
147,servic littl slow consid serv peopl server food come slow pace,servic littl slow consid serv peopl server food come slow pace
148,give thumb,give thumb
149,watch waiter pay lot attent tabl ignor us,watch waiter pay lot attent tabl ignor us
150,fianc came middl day greet seat right away,fianc came middl day greet seat right away
151,great restaur mandalay bay,great restaur mandalay bay
152,wait forti five minut vain,wait forti five minut vain
153,crostini came salad stale,crostini came salad stale
154,highlight great qualiti nigiri,highlight great qualiti nigiri
155,staff friendli joint alway clean,staff friendli joint alway clean
156,differ cut piec day still wonder tender well well flavor,differ cut piec day still wonder tender well well flavor
157,order voodoo pasta first time realli excel pasta sinc go gluten free sever year ago,order voodoo pasta first time realli excel pasta sinc go gluten free sever year ago
158,place good,place good
159,unfortun must hit bakeri leftov day everyth order stale,unfortun must hit bakeri leftov day everyth order stale
160,came back today sinc reloc still impress,came back today sinc reloc still impress
161,seat immedi,seat immedi
162,menu divers reason price,menu divers reason price
163,avoid cost,avoid cost
164,restaur alway full never wait,restaur alway full never wait
165,delici,delici
166,place hand one best place eat phoenix metro area,place hand one best place eat phoenix metro area
167,go look good food,go look good food
168,never treat bad,never treat bad
169,bacon hella salti,bacon hella salti
170,also order spinach avocado salad ingredi sad dress liter zero tast,also order spinach avocado salad ingredi sad dress liter zero tast
171,realli vega fine dine use right menu hand ladi price list,realli vega fine dine use right menu hand ladi price list
172,waitress friendli,waitress friendli
173,lordi khao soi dish miss curri lover,lordi khao soi dish miss curri lover
174,everyth menu terrif also thrill made amaz accommod vegetarian daughter,everyth menu terrif also thrill made amaz accommod vegetarian daughter
175,perhap caught night judg review inspir go back,perhap caught night judg review inspir go back
176,servic leav lot desir,servic leav lot desir
177,atmospher modern hip maintain touch cozi,atmospher modern hip maintain touch cozi
178,weekli haunt definit place come back everi,weekli haunt definit place come back everi
179,liter sat minut one ask take order,liter sat minut one ask take order
180,burger absolut flavor meat total bland burger overcook charcoal flavor,burger absolut flavor meat total bland burger overcook charcoal flavor
181,also decid send back waitress look like verg heart attack,also decid send back waitress look like verg heart attack
182,dress treat rude,dress treat rude
183,probabl dirt,probabl dirt
184,love place hit spot want someth healthi lack quantiti flavor,love place hit spot want someth healthi lack quantiti flavor
185,order lemon raspberri ice cocktail also incred,order lemon raspberri ice cocktail also incred
186,food suck expect suck could imagin,food suck expect suck could imagin
187,interest decor,interest decor
188,realli like crepe station,realli like crepe station
189,also serv hot bread butter home made potato chip bacon bit top origin good,also serv hot bread butter home made potato chip bacon bit top origin good
190,watch prepar delici food,watch prepar delici food
191,egg roll fantast,egg roll fantast
192,order arriv one gyro miss,order arriv one gyro miss
193,salad wing ice cream dessert left feel quit satisfi,salad wing ice cream dessert left feel quit satisfi
194,realli sure joey vote best hot dog valley reader phoenix magazin,realli sure joey vote best hot dog valley reader phoenix magazin
195,best place go tasti bowl pho,best place go tasti bowl pho
196,live music friday total blow,live music friday total blow
197,never insult felt disrespect,never insult felt disrespect
198,friendli staff,friendli staff
199,worth drive,worth drive
200,heard good thing place exceed everi hope could dream,heard good thing place exceed everi hope could dream
201,food great serivc,food great serivc
202,warm beer help,warm beer help
203,great brunch spot,great brunch spot
204,servic friendli invit,servic friendli invit
205,good lunch spot,good lunch spot
